Frequency(Hz), Magnitude(ohm), Phase(deg)
12073.226, 7.833, 17.464
12248.598, 7.878, 17.077
12426.517, 7.770, 17.225
12607.021, 7.892, 18.392
12790.146, 7.853, 17.500
12975.932, 7.799, 18.309
13164.416, 7.800, 19.084
13355.639, 7.796, 19.992
13549.639, 7.875, 21.225
13746.456, 8.010, 21.908
13946.133, 8.074, 22.561
14148.710, 8.174, 24.538
14354.229, 8.578, 26.488
14562.734, 9.388, 27.443
14774.269, 10.686, 21.151
14988.875, 9.923, 13.398
15206.599, 9.035, 10.294
15427.485, 8.608, 15.010
15651.580, 8.924, 14.623
15878.930, 8.596, 11.614
16109.582, 8.182, 13.796
16343.585, 8.158, 14.948
16580.986, 8.176, 15.677
16821.838, 8.039, 15.860
17066.186, 7.980, 16.897
17314.084, 7.939, 18.145
17565.582, 8.069, 19.393
17820.734, 8.121, 17.916
18079.594, 7.908, 19.535
18342.213, 8.142, 20.500
18608.645, 8.153, 20.470
18878.949, 8.033, 19.559
19153.178, 7.958, 21.497
19431.391, 8.091, 22.898
19713.646, 8.277, 21.596
20000.000, 8.063, 21.847
